date,title,author,ignore
n/a,Ephesian Tale,Xenophon,ancient
n/a,Story of Apollonius King of Tyre,anonymous,ancient
n/a,The Wonders Beyond Thule,Antonius Diogenes,ancient
n/a,Babyloniaka,Iamblichus,ancient
n/a,Chaereas and Callirhoe,Chariton,ancient
n/a,Leucippe and Clitophon,Achilles Tatius,ancient
n/a,Ethiopian Story,Heliodorus,ancient
2005,El Corazón de Voltaire (Voltaire’s Heart),Luis López Nieves
2006,The Murder of Bindy Mackenzie (The Betrayal of Bindy Mackenzie),Jaclyn Moriarty
2006,The Mislaid Magician: or Ten Years After,Patricia C. Wrede and Caroline Stevermer
2006,Gut gegen Nordwind (Love Virtually),Daniel Glattauer
2006,Eleven,David Llewellyn
2006,Bloodline,Kate Cary
2007,The Gum Thief,Douglas Coupland
2008,The White Tiger,Aravind Adiga
2008,The Letters,Luanne Rice and Joseph Monninger
2008,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
2008,From A to X: A Story in Letters,John Berger
2008,Dear Everybody,Michael Kimball
2009,Stolen: A Letter to My Captor,Lucy Christopher
2010,Super Sad True Love Story,Gary Shteyngart
2011,Why We Broke Up,Daniel Handler
2011,Attachments,Rainbow Rowell
2011,The Antagonist,Lynn Coady
2012,Where’d You Go Bernadette?,Maria Semple
2012,September Ends,Hunter S. Jones
2012,Code Name Verity,Elizabeth Wein
2012,Aeternum Ray,Tracy R. Atkins
2013,Texts from Bennett,Mac Lethal
2013,Roomies,Sara Zarr
2013,Permission,S.D. Chrostowska
2013,Dear Mr. Knightley,Katherine Reay
2013,God is an Astronaut,Alyson Foster
2013,The Closeness that Separates Us,Katie Hall
2014,Love Letters to the Dead,Ava Dellaira
2014,Letters from Skye,Jessica Brockmole
2014,Every Blade of Grass: A Novel,Thomas Wharton
2014,Dear Committee Members,Julie Schumacher
2014,Vanessa and Her Sister,Priya Parmar
2015,Bats of the Republic,Zachary Thomas Dodson
